abstraction_level,between_parent_dispersion,cross_template_cosine,effective_rank,family,hierarchy_rsa_spearman,layer,location,model_setting,n_items,natural,normalized_separation,permuted_neighbor_recovery,seed,tree_neighbor_recovery,within_parent_dispersion
root,0.2863405586852775,0.9715916702868136,2.73050106313,noun,0.20701966780270628,1,pre_sa,tiny-w32-l2-h2,4,False,0.11217577509877867,0.75,23,0.25,0.2542200845725392
parent,0.3158342474001319,0.9803466496230534,2.295946990768965,noun,-0.20701966780270628,1,pre_sa,tiny-w32-l2-h2,4,True,-0.08869007550838715,0.25,23,0.0,0.3438456106501842
root,0.4268020164179272,0.9529302230453554,2.2880802289566455,noun,-0.20701966780270628,1,pre_sa,tiny-w32-l2-h2,4,True,-0.03273149774577079,0.5,23,0.0,0.440771885656201
parent,0.34046685064759874,0.9921700242033896,2.7673868511401007,relation,0.6210590034081188,1,pre_sa,tiny-w32-l2-h2,4,False,0.1752043350486105,0.0,23,0.75,0.2808155824737916
root,0.40688313502718987,0.9790890732649142,2.554793136604571,relation,0.8280786712108251,1,pre_sa,tiny-w32-l2-h2,4,False,0.3178152679533271,0.0,23,1.0,0.27756946244283376
parent,0.463351250486865,0.9909414386084935,2.5420022017048036,relation,0.0,1,pre_sa,tiny-w32-l2-h2,4,True,0.18207566461359284,0.5,23,0.5,0.3789862636049297
root,0.4520856332223254,0.986922021334007,2.518739631851512,relation,0.20701966780270628,1,pre_sa,tiny-w32-l2-h2,4,True,0.18142623731064214,0.5,23,0.5,0.3700654378445999
parent,0.283982124421036,0.9878838303615113,2.7913734019889844,action,0.0,0,post_block,tiny-w48-l3-h3,4,False,0.0636254560068638,0.25,11,0.5,0.26591363225694964
root,0.49820880783557375,0.9878852953831497,2.5890045425597963,action,0.41403933560541256,0,post_block,tiny-w48-l3-h3,4,False,0.1579768487689224,0.0,11,0.5,0.4195033503447882
parent,0.2885157580458416,0.9966052858793876,2.635080673918036,action,-0.41403933560541256,0,post_block,tiny-w48-l3-h3,4,True,-0.18312925322013132,0.25,11,0.0,0.3413514333590167
root,0.31281409248251135,0.99098499430532,2.775958394622197,action,-0.20701966780270628,0,post_block,tiny-w48-l3-h3,4,True,-0.04193438874748018,0.25,11,0.0,0.3259317602423632
