component,family,layer,mean_update_cosine,model_setting,natural,parent_id,seed,shared_update_explained_variance,shared_update_rank
ff,action,2,0.9336014270880377,tiny-w48-l3-h3,False,synthetic:action:p0,11,0.8534141081038641,1.5410757868300933
ff,action,2,0.970136940741138,tiny-w48-l3-h3,False,synthetic:action:p1,11,0.9350870575742851,1.730096152891608
ff,action,2,0.9458100915639286,tiny-w48-l3-h3,True,natural:action:communication,11,0.8869684707852485,1.3631445393936479
ff,action,2,0.9679789902767725,tiny-w48-l3-h3,True,natural:action:movement,11,0.9258817724367173,1.6623026748621788
ff,noun,2,0.9502279523994562,tiny-w48-l3-h3,False,synthetic:noun:p0,11,0.8933931994255372,1.1944621876895662
ff,noun,2,0.9551705752505798,tiny-w48-l3-h3,False,synthetic:noun:p1,11,0.8918342529075345,2.0058307134065894
ff,noun,2,0.9288374397221061,tiny-w48-l3-h3,True,natural:noun:bird,11,0.8289791803946749,1.9516329931588796
ff,noun,2,0.8808903507530923,tiny-w48-l3-h3,True,natural:noun:mammal,11,0.7686059207083851,1.4824151826515524
ff,relation,2,0.9472551323837419,tiny-w48-l3-h3,False,synthetic:relation:p0,11,0.8445869864244943,1.64791595981567
ff,relation,2,0.9606389270097911,tiny-w48-l3-h3,False,synthetic:relation:p1,11,0.915664701096966,1.271461904153313
ff,relation,2,0.9488234580929941,tiny-w48-l3-h3,True,natural:relation:social,11,0.8854956038068517,1.216745527328272
ff,relation,2,0.9307980675498219,tiny-w48-l3-h3,True,natural:relation:spatial,11,0.8556405035525976,1.3409645978397262
sa,action,2,0.963850930700125,tiny-w48-l3-h3,False,synthetic:action:p0,11,0.9248919210362335,1.2375665352311784
sa,action,2,0.9663745126403498,tiny-w48-l3-h3,False,synthetic:action:p1,11,0.9307109596324543,1.1791226637380126
sa,action,2,0.9639915763193239,tiny-w48-l3-h3,True,natural:action:communication,11,0.9258081780222016,1.171643578957118
sa,action,2,0.9647383118146206,tiny-w48-l3-h3,True,natural:action:movement,11,0.9270032700939852,1.2153247698345142
sa,noun,2,0.9657723926357842,tiny-w48-l3-h3,False,synthetic:noun:p0,11,0.9295202589575671,1.178329672850961
sa,noun,2,0.9663901350467424,tiny-w48-l3-h3,False,synthetic:noun:p1,11,0.9309524114060673,1.193936526384097
sa,noun,2,0.9641618159785499,tiny-w48-l3-h3,True,natural:noun:bird,11,0.926317905032246,1.1736997416037163
sa,noun,2,0.9038908946910569,tiny-w48-l3-h3,True,natural:noun:mammal,11,0.822419289392736,1.727195944429269
sa,relation,2,0.967391319218056,tiny-w48-l3-h3,False,synthetic:relation:p0,11,0.93285998705589,1.2222189310166887
sa,relation,2,0.9619947104116909,tiny-w48-l3-h3,False,synthetic:relation:p1,11,0.9216341161516896,1.422965512381765
sa,relation,2,0.9644030757945012,tiny-w48-l3-h3,True,natural:relation:social,11,0.9259607810997629,1.5640363655637526
sa,relation,2,0.9654898309712457,tiny-w48-l3-h3,True,natural:relation:spatial,11,0.9290086582289339,1.1836152225212255
ff,action,0,0.8974042726189465,tiny-w48-l3-h3,False,synthetic:action:p0,23,0.7952025815148286,1.5058595959580028
ff,action,0,0.9109179180830261,tiny-w48-l3-h3,False,synthetic:action:p1,23,0.8168325578039846,1.6846622737703763
ff,action,0,0.8972218850168304,tiny-w48-l3-h3,True,natural:action:communication,23,0.8017593974125994,1.8008277446228342
ff,action,0,0.934532006208937,tiny-w48-l3-h3,True,natural:action:movement,23,0.871215751270639,2.014183079633012
ff,noun,0,0.9476213227884315,tiny-w48-l3-h3,False,synthetic:noun:p0,23,0.8822389610049417,1.514240500475483
ff,noun,0,0.953429852044723,tiny-w48-l3-h3,False,synthetic:noun:p1,23,0.9042245531827944,2.0730252147933856
ff,noun,0,0.870349952529435,tiny-w48-l3-h3,True,natural:noun:bird,23,0.7520703047435687,1.1759284511375685
ff,noun,0,0.9619310018888988,tiny-w48-l3-h3,True,natural:noun:mammal,23,0.9081001509413955,1.6814272128973817
ff,relation,0,0.9176281957921728,tiny-w48-l3-h3,False,synthetic:relation:p0,23,0.8324377353600562,1.5611305111540181
ff,relation,0,0.9112276673918994,tiny-w48-l3-h3,False,synthetic:relation:p1,23,0.8293359865900206,2.1231413440661284
ff,relation,0,0.7869512264863038,tiny-w48-l3-h3,True,natural:relation:social,23,0.6190954966544748,1.445789665503282
ff,relation,0,0.8864701852982894,tiny-w48-l3-h3,True,natural:relation:spatial,23,0.7564377721591092,1.2859884870210592
sa,action,0,0.7216761618643498,tiny-w48-l3-h3,False,synthetic:action:p0,23,0.5377154079812138,2.3169650329055056
sa,action,0,0.7660288151252234,tiny-w48-l3-h3,False,synthetic:action:p1,23,0.5941076701770753,1.2380905174934262
sa,action,0,0.6355922516403972,tiny-w48-l3-h3,True,natural:action:communication,23,0.3731105693242509,1.9087926697165896
sa,action,0,0.8673178789217442,tiny-w48-l3-h3,True,natural:action:movement,23,0.7472221255201137,2.1394817267246684
sa,noun,0,0.6222148544073952,tiny-w48-l3-h3,False,synthetic:noun:p0,23,0.3420567305399106,1.5206607007843425
sa,noun,0,0.7963436318860008,tiny-w48-l3-h3,False,synthetic:noun:p1,23,0.6210386946598891,1.3011824932935852
sa,noun,0,0.8622985910067601,tiny-w48-l3-h3,True,natural:noun:bird,23,0.7257128262664005,2.92106589496161
sa,noun,0,0.8922305664278362,tiny-w48-l3-h3,True,natural:noun:mammal,23,0.793519468775368,1.8233409320156906
sa,relation,0,0.7022919425035852,tiny-w48-l3-h3,False,synthetic:relation:p0,23,0.4842733500770052,2.6335309950478973
sa,relation,0,0.8068150678081598,tiny-w48-l3-h3,False,synthetic:relation:p1,23,0.6479658951573379,1.3004340428475674
sa,relation,0,0.7194377323263871,tiny-w48-l3-h3,True,natural:relation:social,23,0.5338586356849422,1.2803441676699574
sa,relation,0,0.8475879063245597,tiny-w48-l3-h3,True,natural:relation:spatial,23,0.7177776687471766,1.4999080580281847
ff,action,1,0.8711813956167168,tiny-w48-l3-h3,False,synthetic:action:p0,23,0.730156285306984,1.3919003380208994
