accuracy,architecture,branching,distractors,evaluation_axis,heads,layers,mean_margin,model_seed,n,predicate,required_path,total_depth,width
1.0,depth8,2,4,depth_path,4,8,14.918542305628458,23,24,isAncestor,3,6,64
1.0,depth8,2,4,depth_path,4,8,15.079241593678793,23,24,isAncestor,4,6,64
1.0,depth8,2,4,depth_path,4,8,13.740837812423706,23,24,isAncestor,6,6,64
1.0,depth8,2,0,distractors,4,8,12.920539498329163,23,24,isAncestor,3,8,64
1.0,depth8,2,4,depth_path,4,8,14.17022999127706,23,24,isAncestor,1,8,64
1.0,depth8,2,4,depth_path,4,8,13.152048508326212,23,24,isAncestor,2,8,64
1.0,depth8,2,4,depth_path,4,8,13.144976019859314,23,24,isAncestor,3,8,64
1.0,depth8,2,4,depth_path,4,8,13.436290621757507,23,24,isAncestor,4,8,64
1.0,depth8,2,4,depth_path,4,8,13.161340872446695,23,24,isAncestor,6,8,64
1.0,depth8,2,4,depth_path,4,8,13.78543472290039,23,24,isAncestor,8,8,64
1.0,depth8,2,4,branching,4,8,13.747494300206503,23,24,isAncestor,3,8,64
1.0,depth8,2,4,distractors,4,8,13.1614803870519,23,24,isAncestor,3,8,64
1.0,depth8,2,16,distractors,4,8,12.812387307484945,23,24,isAncestor,3,8,64
1.0,depth8,2,4,depth_path,4,8,14.285858154296875,23,24,isAncestor,1,12,64
1.0,depth8,2,4,depth_path,4,8,14.37156101067861,23,24,isAncestor,2,12,64
1.0,depth8,2,4,depth_path,4,8,13.544971903165182,23,24,isAncestor,3,12,64
1.0,depth8,2,4,depth_path,4,8,13.71808377901713,23,24,isAncestor,4,12,64
1.0,depth8,2,4,depth_path,4,8,13.606911579767862,23,24,isAncestor,6,12,64
1.0,depth8,2,4,depth_path,4,8,13.555643320083618,23,24,isAncestor,8,12,64
1.0,depth8,2,4,depth_path,4,8,13.816912174224854,23,24,isAncestor,12,12,64
1.0,depth8,2,4,depth_path,4,8,14.654483636220297,23,24,isAncestor,1,16,64
1.0,depth8,2,4,depth_path,4,8,13.983466784159342,23,24,isAncestor,2,16,64
1.0,depth8,2,4,depth_path,4,8,14.567630847295126,23,24,isAncestor,3,16,64
1.0,depth8,2,4,depth_path,4,8,14.374840100606283,23,24,isAncestor,4,16,64
1.0,depth8,2,4,depth_path,4,8,14.116041779518127,23,24,isAncestor,6,16,64
1.0,depth8,2,4,depth_path,4,8,13.54560391108195,23,24,isAncestor,8,16,64
1.0,depth8,2,4,depth_path,4,8,14.015573263168335,23,24,isAncestor,12,16,64
