bridge_selected,bridge_strength,budget_chunks,budget_violation,condition,evidence_recall,example_id,hop_count,lexical_overlap,materialized_tokens,path_complete,quality,qwen_equivalent_kv_bytes,seed,selector_time_ns
0.0,0.16,3,0,bridge_preserving,0.5,bridge-11-0084,2,low,96,0.0,0.25,393216,11,91700
1.0,0.16,3,0,combined_structural,1.0,bridge-11-0084,2,low,96,1.0,1.0,393216,11,52900
1.0,0.16,3,0,oracle_evidence,1.0,bridge-11-0084,2,low,96,1.0,1.0,393216,11,27100
0.0,0.16,4,0,base_topk,0.5,bridge-11-0084,2,low,128,0.0,0.25,524288,11,18800
0.0,0.16,4,0,budget_tuned_topk,0.5,bridge-11-0084,2,low,128,0.0,0.25,524288,11,17600
0.0,0.16,4,0,power_sharpen,0.5,bridge-11-0084,2,low,128,0.0,0.25,524288,11,51100
0.0,0.16,4,0,entropy_adaptive_sharpen,0.5,bridge-11-0084,2,low,128,0.0,0.25,524288,11,101100
0.0,0.16,4,0,persistence,0.5,bridge-11-0084,2,low,128,0.0,0.25,524288,11,24600
0.0,0.16,4,0,agreement,0.5,bridge-11-0084,2,low,128,0.0,0.25,524288,11,22800
0.0,0.16,4,0,community,0.5,bridge-11-0084,2,low,128,0.0,0.25,524288,11,23400
0.0,0.16,4,0,bridge_preserving,0.5,bridge-11-0084,2,low,128,0.0,0.25,524288,11,58600
1.0,0.16,4,0,combined_structural,1.0,bridge-11-0084,2,low,128,1.0,1.0,524288,11,52800
1.0,0.16,4,0,oracle_evidence,1.0,bridge-11-0084,2,low,128,1.0,1.0,524288,11,28100
0.0,0.16,6,0,base_topk,0.5,bridge-11-0084,2,low,192,0.0,0.25,786432,11,19900
0.0,0.16,6,0,budget_tuned_topk,0.5,bridge-11-0084,2,low,192,0.0,0.25,786432,11,18400
0.0,0.16,6,0,power_sharpen,0.5,bridge-11-0084,2,low,192,0.0,0.25,786432,11,49900
0.0,0.16,6,0,entropy_adaptive_sharpen,0.5,bridge-11-0084,2,low,192,0.0,0.25,786432,11,104200
