condition,example_id,family,heads,icl_gain,layers,margin,model_seed,probability,rank,stage,target,top1,width
wrong_chain,12,1,1,,6,5.052700042724609,23,0.9846791625022888,1,D4,6,1,8
irrelevant,12,1,1,,6,-1.1898193359375,23,0.2173205018043518,2,D4,6,0,8
reversed,12,1,1,,6,5.012142181396484,23,0.9869968891143799,1,D4,6,1,8
none,13,1,1,,6,-5.437256336212158,23,0.004270362202078104,3,D4,6,0,8
correct,13,1,1,11.472782611846924,6,6.035526275634766,23,0.9913195967674255,1,D4,6,1,8
shuffled,13,1,1,,6,-6.388510704040527,23,0.0016687517054378986,2,D4,6,0,8
wrong_chain,13,1,1,,6,5.052700042724609,23,0.9846791625022888,1,D4,6,1,8
irrelevant,13,1,1,,6,-1.1898193359375,23,0.2173205018043518,2,D4,6,0,8
reversed,13,1,1,,6,5.012142181396484,23,0.9869968891143799,1,D4,6,1,8
none,14,1,1,,6,-5.437256336212158,23,0.004270362202078104,3,D4,6,0,8
correct,14,1,1,11.472782611846924,6,6.035526275634766,23,0.9913195967674255,1,D4,6,1,8
shuffled,14,1,1,,6,-4.903347492218018,23,0.0073051415383815765,2,D4,6,0,8
wrong_chain,14,1,1,,6,5.052700042724609,23,0.9846791625022888,1,D4,6,1,8
irrelevant,14,1,1,,6,-1.1898193359375,23,0.2173205018043518,2,D4,6,0,8
reversed,14,1,1,,6,5.012142181396484,23,0.9869968891143799,1,D4,6,1,8
none,15,1,1,,6,-5.437256336212158,23,0.004270362202078104,3,D4,6,0,8
correct,15,1,1,11.472782611846924,6,6.035526275634766,23,0.9913195967674255,1,D4,6,1,8
shuffled,15,1,1,,6,-6.388510704040527,23,0.0016687517054378986,2,D4,6,0,8
wrong_chain,15,1,1,,6,5.052700042724609,23,0.9846791625022888,1,D4,6,1,8
irrelevant,15,1,1,,6,-1.1898193359375,23,0.2173205018043518,2,D4,6,0,8
reversed,15,1,1,,6,5.012142181396484,23,0.9869968891143799,1,D4,6,1,8
none,16,2,1,,6,-3.5316848754882812,23,0.019605301320552826,3,D4,6,0,8
correct,16,2,1,9.001401424407959,6,5.469716548919678,23,0.9888849258422852,1,D4,6,1,8
shuffled,16,2,1,,6,-5.515328884124756,23,0.003973609767854214,2,D4,6,0,8
wrong_chain,16,2,1,,6,4.940919876098633,23,0.9864257574081421,1,D4,6,1,8
irrelevant,16,2,1,,6,-3.739699363708496,23,0.018716024234890938,3,D4,6,0,8
reversed,16,2,1,,6,6.1278276443481445,23,0.9915825724601746,1,D4,6,1,8
none,17,2,1,,6,-3.5316848754882812,23,0.019605301320552826,3,D4,6,0,8
correct,17,2,1,9.001401424407959,6,5.469716548919678,23,0.9888849258422852,1,D4,6,1,8
shuffled,17,2,1,,6,-7.764749526977539,23,0.0004204282886348665,6,D4,6,0,8
wrong_chain,17,2,1,,6,4.940919876098633,23,0.9864257574081421,1,D4,6,1,8
irrelevant,17,2,1,,6,-3.739699363708496,23,0.018716024234890938,3,D4,6,0,8
reversed,17,2,1,,6,6.1278276443481445,23,0.9915825724601746,1,D4,6,1,8
none,18,2,1,,6,-3.5316848754882812,23,0.019605301320552826,3,D4,6,0,8
correct,18,2,1,9.001401424407959,6,5.469716548919678,23,0.9888849258422852,1,D4,6,1,8
shuffled,18,2,1,,6,-7.764749526977539,23,0.0004204282886348665,6,D4,6,0,8
wrong_chain,18,2,1,,6,4.940919876098633,23,0.9864257574081421,1,D4,6,1,8
irrelevant,18,2,1,,6,-3.739699363708496,23,0.018716024234890938,3,D4,6,0,8
reversed,18,2,1,,6,6.1278276443481445,23,0.9915825724601746,1,D4,6,1,8
none,19,2,1,,6,-3.5316848754882812,23,0.019605301320552826,3,D4,6,0,8
correct,19,2,1,9.001401424407959,6,5.469716548919678,23,0.9888849258422852,1,D4,6,1,8
shuffled,19,2,1,,6,-5.515328884124756,23,0.003973609767854214,2,D4,6,0,8
wrong_chain,19,2,1,,6,4.940919876098633,23,0.9864257574081421,1,D4,6,1,8
irrelevant,19,2,1,,6,-3.739699363708496,23,0.018716024234890938,3,D4,6,0,8
reversed,19,2,1,,6,6.1278276443481445,23,0.9915825724601746,1,D4,6,1,8
none,20,2,1,,6,-3.5316848754882812,23,0.019605301320552826,3,D4,6,0,8
correct,20,2,1,9.001401424407959,6,5.469716548919678,23,0.9888849258422852,1,D4,6,1,8
shuffled,20,2,1,,6,-5.515328884124756,23,0.003973609767854214,2,D4,6,0,8
wrong_chain,20,2,1,,6,4.940919876098633,23,0.9864257574081421,1,D4,6,1,8
