condition,example_id,family,heads,icl_gain,layers,margin,model_seed,probability,rank,stage,target,top1,width
shuffled,46,5,2,,2,-1.2522869110107422,11,0.15125153958797455,3,D0,6,0,32
wrong_chain,46,5,2,,2,-0.8559274673461914,11,0.29533305764198303,2,D0,6,0,32
irrelevant,46,5,2,,2,-0.4244346618652344,11,0.3450445532798767,2,D0,6,0,32
reversed,46,5,2,,2,-1.2522869110107422,11,0.15125153958797455,3,D0,6,0,32
none,47,5,2,,2,-1.128098487854004,11,0.19975823163986206,2,D0,6,0,32
correct,47,5,2,3.4688682556152344,2,2.3407697677612305,11,0.8931066989898682,1,D0,6,1,32
shuffled,47,5,2,,2,-0.18564701080322266,11,0.33535802364349365,2,D0,6,0,32
wrong_chain,47,5,2,,2,-3.9691429138183594,11,0.017182016745209694,3,D0,6,0,32
irrelevant,47,5,2,,2,0.20499801635742188,11,0.4538114368915558,1,D0,6,1,32
reversed,47,5,2,,2,-0.18564701080322266,11,0.33535802364349365,2,D0,6,0,32
none,48,6,2,,2,1.8526945114135742,11,0.797029972076416,1,D0,6,1,32
correct,48,6,2,-2.580023765563965,2,-0.7273292541503906,11,0.31854626536369324,2,D0,6,0,32
shuffled,48,6,2,,2,2.6598567962646484,11,0.9300696849822998,1,D0,6,1,32
wrong_chain,48,6,2,,2,-7.576543807983398,11,0.0004839303728658706,3,D0,6,0,32
irrelevant,48,6,2,,2,-5.692188262939453,11,0.003251338144764304,3,D0,6,0,32
reversed,48,6,2,,2,2.6598567962646484,11,0.9300696849822998,1,D0,6,1,32
none,49,6,2,,2,1.8526945114135742,11,0.797029972076416,1,D0,6,1,32
