between_centroid_variance,boundary,effective_rank,hierarchy_rsa,interpretation_status,model_seed,nearest_class_recovery,predictive_order,residual_covariance_trace,stage,within_between_ratio,within_dispersion
305.56212565965495,11,2.3318082045819937,0.6848444153364274,blocked_by_competence,23,0.943359375,4,691.376901773795,s2,0.7947734597256958,384.46443060286316
311.66662439056347,12,2.3194206529976773,0.6791584440224429,blocked_by_competence,23,0.943359375,4,697.7537459243998,s2,0.810103773452072,384.72432124882766
2.1411879839235417,0,20.628626074557612,0.017203321916466795,eligible,11,0.9649122807017544,1,59.08245539802149,s3,0.03782709122805433,56.60461626923262
2.464121532144699,1,20.70760378706536,0.04401520677389106,eligible,11,0.9122807017543859,1,64.11030409767922,s3,0.04020989915244882,61.28146510391168
3.417945902121941,2,14.052020393154507,0.06357781769487726,eligible,11,0.783625730994152,1,73.72797969035886,s3,0.0489025359498255,69.8930195591444
205.4742801494311,3,2.222883064359892,0.8979706865769266,eligible,11,1.0,1,326.20999837499676,s3,1.7168881412322126,119.67831520159089
213.8045628785944,4,2.2009194684089115,0.8978823985665857,eligible,11,1.0,1,337.24826358492186,s3,1.7473943498762996,122.35621734513218
293.1675701135527,5,2.8912253269168082,0.5182167229332936,eligible,11,1.0,1,734.7997862181919,s3,0.6684955477726127,438.54827617578695
312.3068082548092,6,2.7950327955489875,0.544062753052846,eligible,11,1.0,1,772.1243797194795,s3,0.683991525901535,456.5945577122952
334.7718174508585,7,2.66676396556479,0.5218547885742217,eligible,11,1.0,1,893.3564395917797,s3,0.6034690704345808,554.7456097521983
348.88536261136437,8,2.522784540399066,0.5216802511401005,eligible,11,1.0,1,953.7747733366159,s3,0.5807443726916954,600.7554769553877
384.8875894440076,9,2.246533904512443,0.5126178904067371,eligible,11,1.0,1,1132.0515225950285,s3,0.5186210746335163,742.1364234201287
419.83575088612247,10,2.0926038209255897,0.5166122669759351,eligible,11,0.9883040935672515,1,1257.8992635839754,s3,0.5043407294195729,832.4446676441393
430.08820169303584,11,2.1528256786857227,0.5254970814202883,eligible,11,0.9824561403508771,1,1318.259374147198,s3,0.48749471709832937,882.241769199338
